Sample	Reference virus	Genus	Description	%Identity
ET116	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.51
ET116	D86371	potyvirus	Sweet potato feathery mottle virus	95.53
ET116	JN657686	begomovirus	Sweet potato leaf curl virus	95.32
ET116	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET116	JN613805	potyvirus	Sweet potato virus G	98.46
ET117	KF386729	badnavirus	Banana streak virus	79.86
ET117	FJ560943	badnavirus	Sweet potato badnavirus A	79.03
ET117	KF836892	badnavirus	Sweet potato badnavirus B	90.04
ET117	JQ902104	badnavirus	Sweet potato badnavirus C	84.17
ET117	AY523547	potyvirus	Sweet potato feathery mottle virus	96.32
ET117	JN613805	potyvirus	Sweet potato virus G	98.7
ET118	KF836892	badnavirus	Sweet potato badnavirus B	94.13
ET118	JQ902104	badnavirus	Sweet potato badnavirus C	84.75
ET118	JN657686	begomovirus	Sweet potato leaf curl virus	97
ET118	JN613805	potyvirus	Sweet potato virus G	98.61
ET119	FJ560943	badnavirus	Sweet potato badnavirus A	78.9
ET119	KF836892	badnavirus	Sweet potato badnavirus B	91.49
ET119	JQ902104	badnavirus	Sweet potato badnavirus C	85.45
ET119	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.31
ET119	AY523547	potyvirus	Sweet potato feathery mottle virus	95.83
ET119	KF040465	begomovirus	Sweet potato leaf curl virus	96.6
ET12	FJ560943	badnavirus	Sweet potato badnavirus A	77.44
ET12	KF836892	badnavirus	Sweet potato badnavirus B	87.81
ET12	JQ902104	badnavirus	Sweet potato badnavirus C	81.33
ET120	FJ560943	badnavirus	Sweet potato badnavirus A	79.27
ET120	KF836892	badnavirus	Sweet potato badnavirus B	90.61
ET120	JQ902103	badnavirus	Sweet potato badnavirus C	94.92
ET120	KJ013582	begomovirus	Sweet potato leaf curl virus	95.76
ET121	FJ560943	badnavirus	Sweet potato badnavirus A	80.38
ET121	KF836892	badnavirus	Sweet potato badnavirus B	92.64
ET121	JQ902104	badnavirus	Sweet potato badnavirus C	86.34
ET121	HQ393464	begomovirus	Sweet potato leaf curl virus	93.82
ET126	FJ560944	badnavirus	Sweet potato badnavirus B	81.29
ET126	JQ902103	badnavirus	Sweet potato badnavirus C	93
ET126	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET13	FJ560943	badnavirus	Sweet potato badnavirus A	78.72
ET13	KF836892	badnavirus	Sweet potato badnavirus B	86.65
ET13	JQ902104	badnavirus	Sweet potato badnavirus C	82.71
ET14	FJ560943	badnavirus	Sweet potato badnavirus A	78.44
ET14	KF836892	badnavirus	Sweet potato badnavirus B	89.18
ET14	JQ902104	badnavirus	Sweet potato badnavirus C	81
ET15	AJ968472	badnavirus	Banana streak virus	78.33
ET15	FJ560943	badnavirus	Sweet potato badnavirus A	77.34
ET15	KF836892	badnavirus	Sweet potato badnavirus B	89.81
ET15	JQ902104	badnavirus	Sweet potato badnavirus C	78.43
ET15	JN613805	potyvirus	Sweet potato virus G	98.73
ET16	AM503381	badnavirus	Dioscorea bacilliform virus	72.92
ET16	FJ560943	badnavirus	Sweet potato badnavirus A	77.77
ET16	KF836892	badnavirus	Sweet potato badnavirus B	86.88
ET16	JQ902103	badnavirus	Sweet potato badnavirus C	86.54
ET17	FJ560943	badnavirus	Sweet potato badnavirus A	80.38
ET17	KF836892	badnavirus	Sweet potato badnavirus B	88.24
ET17	JQ902104	badnavirus	Sweet potato badnavirus C	79.82
ET18	AJ968472	badnavirus	Banana streak virus	78.69
ET18	FJ560943	badnavirus	Sweet potato badnavirus A	80.25
ET18	KF836892	badnavirus	Sweet potato badnavirus B	84.54
ET18	JQ902104	badnavirus	Sweet potato badnavirus C	79.34
ET18	JN613805	potyvirus	Sweet potato virus G	98.25
ET19	FJ560943	badnavirus	Sweet potato badnavirus A	79.58
ET19	KF836892	badnavirus	Sweet potato badnavirus B	88.73
ET19	JQ902104	badnavirus	Sweet potato badnavirus C	84.79
ET19	JN613805	potyvirus	Sweet potato virus G	98.86
ET20	JQ390619	badnavirus	Pineapple bacilliform comosus virus	76.61
ET20	FJ560943	badnavirus	Sweet potato badnavirus A	80.16
ET20	KF836892	badnavirus	Sweet potato badnavirus B	87.43
ET20	JQ902104	badnavirus	Sweet potato badnavirus C	79.81
ET207	JQ902104	badnavirus	Sweet potato badnavirus C	96.15
ET207	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET21	FJ560943	badnavirus	Sweet potato badnavirus A	78.87
ET21	KF836892	badnavirus	Sweet potato badnavirus B	90.24
ET21	JQ902104	badnavirus	Sweet potato badnavirus C	81.44
ET21	JN613805	potyvirus	Sweet potato virus G	98.74
ET22	FJ439788	badnavirus	Sugarcane bacilliform virus	81.08
ET22	KF836892	badnavirus	Sweet potato badnavirus B	96.97
ET22	JQ902104	badnavirus	Sweet potato badnavirus C	91.78
ET22	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET22	JN613805	potyvirus	Sweet potato virus G	98.82
ET23	AJ968467	badnavirus	Banana streak virus	80.33
ET23	AY262011	badnavirus	Citrus yellow mosaic virus	76.39
ET23	KF836892	badnavirus	Sweet potato badnavirus B	90.61
ET23	JQ902104	badnavirus	Sweet potato badnavirus C	82.98
ET23	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.19
ET23	D86371	potyvirus	Sweet potato feathery mottle virus	96.14
ET23	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET24	KF836892	badnavirus	Sweet potato badnavirus B	90.07
ET24	JQ902104	badnavirus	Sweet potato badnavirus C	76.03
ET24	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.5
ET24	FJ155666	potyvirus	Sweet potato feathery mottle virus	95.31
ET24	EU056325	begomovirus	Sweet potato leaf curl virus	99.18
ET24	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET24	KF386015	potyvirus	Sweet potato virus C	96.85
ET24	JN613805	potyvirus	Sweet potato virus G	98.43
ET248	FJ560944	badnavirus	Sweet potato badnavirus B	79.83
ET248	JQ902104	badnavirus	Sweet potato badnavirus C	95.06
ET248	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET25	KF836892	badnavirus	Sweet potato badnavirus B	91.44
ET25	JQ902104	badnavirus	Sweet potato badnavirus C	81.03
ET25	D86371	potyvirus	Sweet potato feathery mottle virus	97.63
ET25	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET25	KF386015	potyvirus	Sweet potato virus C	98.22
ET25	JN613805	potyvirus	Sweet potato virus G	98.9
ET250	JQ902103	badnavirus	Sweet potato badnavirus C	97.56
ET251	D86371	potyvirus	Sweet potato feathery mottle virus	98.05
ET252	D86371	potyvirus	Sweet potato feathery mottle virus	98.19
ET26	EU377671	badnavirus	Pineapple bacilliform comosus virus	81.51
ET26	FJ560943	badnavirus	Sweet potato badnavirus A	78.41
ET26	KF836892	badnavirus	Sweet potato badnavirus B	89.39
ET26	JQ902104	badnavirus	Sweet potato badnavirus C	86.71
ET26	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.41
ET26	D86371	potyvirus	Sweet potato feathery mottle virus	95.5
ET26	HQ393464	begomovirus	Sweet potato leaf curl virus	97.58
ET26	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET26	KF386015	potyvirus	Sweet potato virus C	96.32
ET26	JN613805	potyvirus	Sweet potato virus G	98.8
ET27	FJ560943	badnavirus	Sweet potato badnavirus A	76.89
ET27	KF836892	badnavirus	Sweet potato badnavirus B	90.01
ET27	JQ902104	badnavirus	Sweet potato badnavirus C	81.64
ET27	FJ155666	potyvirus	Sweet potato feathery mottle virus	96.95
ET27	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET27	JN613805	potyvirus	Sweet potato virus G	98.59
ET28	KF803548	mitovirus	Fusarium circinatum mitovirus 2-2	96.82
ET28	KF836892	badnavirus	Sweet potato badnavirus B	91.64
ET28	JQ902104	badnavirus	Sweet potato badnavirus C	81.91
ET28	AB465608	potyvirus	Sweet potato feathery mottle virus	95.96
ET28	HQ393464	begomovirus	Sweet potato leaf curl virus	96.82
ET28	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET28	KF386015	potyvirus	Sweet potato virus C	96.92
ET28	JN613805	potyvirus	Sweet potato virus G	98.6
ET3	KF836892	badnavirus	Sweet potato badnavirus B	94.79
ET3	JQ902104	badnavirus	Sweet potato badnavirus C	92.45
ET3	JN613805	potyvirus	Sweet potato virus G	98.65
ET30	FJ560943	badnavirus	Sweet potato badnavirus A	77.03
ET30	KF836892	badnavirus	Sweet potato badnavirus B	88.13
ET30	JQ902104	badnavirus	Sweet potato badnavirus C	81.72
ET30	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.39
ET30	D86371	potyvirus	Sweet potato feathery mottle virus	97.19
ET30	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET30	KF386015	potyvirus	Sweet potato virus C	96.05
ET30	JN613805	potyvirus	Sweet potato virus G	98.65
ET31	KF803548	mitovirus	Fusarium circinatum mitovirus 2-2	96.33
ET31	FJ560943	badnavirus	Sweet potato badnavirus A	78
ET31	KF836892	badnavirus	Sweet potato badnavirus B	89.57
ET31	JQ902104	badnavirus	Sweet potato badnavirus C	82.33
ET31	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.46
ET31	D86371	potyvirus	Sweet potato feathery mottle virus	97.45
ET31	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET31	KF386015	potyvirus	Sweet potato virus C	97.07
ET31	JN613805	potyvirus	Sweet potato virus G	98.6
ET32	KF836892	badnavirus	Sweet potato badnavirus B	94.3
ET32	JQ902104	badnavirus	Sweet potato badnavirus C	80.98
ET32	AJ428555	crinivirus	Sweet potato chlorotic stunt virus	99.21
ET32	D86371	potyvirus	Sweet potato feathery mottle virus	96.49
ET32	HQ393464	begomovirus	Sweet potato leaf curl virus	96.43
ET32	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.89
ET32	KF386015	potyvirus	Sweet potato virus C	97.31
ET32	JN613805	potyvirus	Sweet potato virus G	98.7
ET33	FJ560943	badnavirus	Sweet potato badnavirus A	75.63
ET33	KF836892	badnavirus	Sweet potato badnavirus B	89.97
ET33	JQ902104	badnavirus	Sweet potato badnavirus C	86.74
ET33	D86371	potyvirus	Sweet potato feathery mottle virus	98.27
ET33	KJ013582	begomovirus	Sweet potato leaf curl virus	95.9
ET33	KF386015	potyvirus	Sweet potato virus C	96.22
ET33	JN613805	potyvirus	Sweet potato virus G	98.71
ET34	FJ560943	badnavirus	Sweet potato badnavirus A	80.53
ET34	KF836892	badnavirus	Sweet potato badnavirus B	89.17
ET34	JQ902104	badnavirus	Sweet potato badnavirus C	81.01
ET34	FJ155666	potyvirus	Sweet potato feathery mottle virus	97.8
ET35	AM072682	badnavirus	Dioscorea bacilliform virus 1	78.52
ET35	EU377669	badnavirus	Pineapple bacilliform comosus virus	76
ET35	FJ439797	badnavirus	Sugarcane bacilliform virus	79.55
ET35	FJ560943	badnavirus	Sweet potato badnavirus A	80.16
ET35	KF836892	badnavirus	Sweet potato badnavirus B	90.11
ET35	JQ902104	badnavirus	Sweet potato badnavirus C	86.36
ET35	D86371	potyvirus	Sweet potato feathery mottle virus	98.06
ET35	KF697069	begomovirus	Sweet potato leaf curl virus	96.42
ET35	KF386015	potyvirus	Sweet potato virus C	97.73
ET35	JN613805	potyvirus	Sweet potato virus G	98.56
ET36	KF803547	mitovirus	Fusarium circinatum mitovirus 2-1	97.61
ET36	KF803548	mitovirus	Fusarium circinatum mitovirus 2-2	97.89
ET36	FJ560943	badnavirus	Sweet potato badnavirus A	75.64
ET36	KF836892	badnavirus	Sweet potato badnavirus B	85.91
ET36	JQ902104	badnavirus	Sweet potato badnavirus C	80
ET36	D86371	potyvirus	Sweet potato feathery mottle virus	98.21
ET36	HQ393464	begomovirus	Sweet potato leaf curl virus	96.47
ET36	KF386015	potyvirus	Sweet potato virus C	97.64
ET36	JN613805	potyvirus	Sweet potato virus G	98.61
ET38	KF836892	badnavirus	Sweet potato badnavirus B	84.19
ET38	JQ902103	badnavirus	Sweet potato badnavirus C	89.27
ET38	FJ155666	potyvirus	Sweet potato feathery mottle virus	97.02
ET38	JN613805	potyvirus	Sweet potato virus G	98.37
ET39	FJ439783	badnavirus	Sugarcane bacilliform virus	74.19
ET39	FJ560943	badnavirus	Sweet potato badnavirus A	78.11
ET39	KF836892	badnavirus	Sweet potato badnavirus B	86.77
ET39	JQ902104	badnavirus	Sweet potato badnavirus C	83.92
ET39	KF697069	begomovirus	Sweet potato leaf curl virus	95.63
ET39	KF386015	potyvirus	Sweet potato virus C	98.06
ET4	FJ560943	badnavirus	Sweet potato badnavirus A	79.97
ET4	KF836892	badnavirus	Sweet potato badnavirus B	91.07
ET4	JQ902103	badnavirus	Sweet potato badnavirus C	87.92
ET4	D86371	potyvirus	Sweet potato feathery mottle virus	98.26
ET40	KF803548	mitovirus	Fusarium circinatum mitovirus 2-2	63.68
ET40	FJ560943	badnavirus	Sweet potato badnavirus A	80.86
ET40	KF836892	badnavirus	Sweet potato badnavirus B	94.3
ET40	JQ902103	badnavirus	Sweet potato badnavirus C	100
ET40	KF386015	potyvirus	Sweet potato virus C	98.28
ET41	AJ968493	badnavirus	Banana streak virus	75.35
ET41	KF803546	mitovirus	Fusarium circinatum mitovirus 1	66.49
ET41	KF803547	mitovirus	Fusarium circinatum mitovirus 2-1	70.97
ET41	KF803548	mitovirus	Fusarium circinatum mitovirus 2-2	67.8
ET41	JN654495	mitovirus	Gremmeniella abietina mitochondrial RNA virus S32	66.96
ET41	FJ560943	badnavirus	Sweet potato badnavirus A	81.37
ET41	KF836892	badnavirus	Sweet potato badnavirus B	89.15
ET41	JQ902104	badnavirus	Sweet potato badnavirus C	86.54
ET41	HQ393444	begomovirus	Sweet potato golden vein associated virus	96.02
ET41	KP069465	begomovirus	Sweet potato leaf curl virus	96.6
ET43	JN654495	mitovirus	Gremmeniella abietina mitochondrial RNA virus S32	68.33
ET43	FJ560943	badnavirus	Sweet potato badnavirus A	81.25
ET43	KF836892	badnavirus	Sweet potato badnavirus B	89.37
ET43	JQ902104	badnavirus	Sweet potato badnavirus C	78.72
ET43	KF386015	potyvirus	Sweet potato virus C	97.45
ET43	JN613805	potyvirus	Sweet potato virus G	98.65
ET44	KF803548	mitovirus	Fusarium circinatum mitovirus 2-2	88.73
ET44	FJ560943	badnavirus	Sweet potato badnavirus A	76.52
ET44	KF836892	badnavirus	Sweet potato badnavirus B	83.43
ET44	JQ902104	badnavirus	Sweet potato badnavirus C	85.34
ET44	KF697069	begomovirus	Sweet potato leaf curl virus	96.33
ET44	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET44	KF386015	potyvirus	Sweet potato virus C	98.14
ET44	JN613805	potyvirus	Sweet potato virus G	98.78
ET45	FJ560943	badnavirus	Sweet potato badnavirus A	74.89
ET45	KF836892	badnavirus	Sweet potato badnavirus B	83.14
ET45	JQ902104	badnavirus	Sweet potato badnavirus C	87.5
ET45	HQ393464	begomovirus	Sweet potato leaf curl virus	94.63
ET45	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET46	JX025978	cucumovirus	Cucumber mosaic virus	98.92
ET46	KF836892	badnavirus	Sweet potato badnavirus B	95.36
ET46	JQ902104	badnavirus	Sweet potato badnavirus C	85.86
ET46	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	98.82
ET46	HQ393464	begomovirus	Sweet potato leaf curl virus	93.61
ET46	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	99.53
ET46	KF386015	potyvirus	Sweet potato virus C	98.29
ET46	JN613805	potyvirus	Sweet potato virus G	98.55
ET47	D12537	cucumovirus	Cucumber mosaic virus	97.42
ET47	JQ902104	badnavirus	Sweet potato badnavirus C	96.58
ET47	KF040464	begomovirus	Sweet potato leaf curl virus	92.51
ET47	JN613805	potyvirus	Sweet potato virus G	98.56
ET48	FJ560943	badnavirus	Sweet potato badnavirus A	76.23
ET48	KF836892	badnavirus	Sweet potato badnavirus B	86.02
ET48	JQ902104	badnavirus	Sweet potato badnavirus C	78.47
ET48	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.41
ET48	HQ393457	begomovirus	Sweet potato golden vein associated virus	92.55
ET48	KF040464	begomovirus	Sweet potato leaf curl virus	93.14
ET48	JX489166	potyvirus	Sweet potato virus C	93.93
ET48	JN613805	potyvirus	Sweet potato virus G	98.54
ET49	FJ560943	badnavirus	Sweet potato badnavirus A	95.13
ET49	FJ560944	badnavirus	Sweet potato badnavirus B	93.37
ET49	JQ902104	badnavirus	Sweet potato badnavirus C	95.89
ET49	D86371	potyvirus	Sweet potato feathery mottle virus	97.98
ET49	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET50	KF803548	mitovirus	Fusarium circinatum mitovirus 2-2	97.19
ET50	KF836892	badnavirus	Sweet potato badnavirus B	92.83
ET50	JQ902104	badnavirus	Sweet potato badnavirus C	98.11
ET50	JN657686	begomovirus	Sweet potato leaf curl virus	94.59
ET50	JN613805	potyvirus	Sweet potato virus G	98.99
ET51	FJ560943	badnavirus	Sweet potato badnavirus A	78.15
ET51	KF836892	badnavirus	Sweet potato badnavirus B	84.07
ET51	JQ902104	badnavirus	Sweet potato badnavirus C	88.71
ET51	KF697069	begomovirus	Sweet potato leaf curl virus	94.93
ET51	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET52	KF803548	mitovirus	Fusarium circinatum mitovirus 2-2	94.5
ET52	FJ560943	badnavirus	Sweet potato badnavirus A	74.57
ET52	KF836892	badnavirus	Sweet potato badnavirus B	81.95
ET52	JQ902104	badnavirus	Sweet potato badnavirus C	86.03
ET52	D86371	potyvirus	Sweet potato feathery mottle virus	97.09
ET52	FJ969830	begomovirus	Sweet potato golden vein associated virus	92.33
ET52	KF697069	begomovirus	Sweet potato leaf curl virus	94.08
ET52	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET53	FJ560943	badnavirus	Sweet potato badnavirus A	75.77
ET53	KF836892	badnavirus	Sweet potato badnavirus B	82.98
ET53	JQ902104	badnavirus	Sweet potato badnavirus C	85.26
ET53	FJ155666	potyvirus	Sweet potato feathery mottle virus	97.68
ET53	KM050768	begomovirus	Sweet potato leaf curl virus	94.31
ET53	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET53	JN613805	potyvirus	Sweet potato virus G	98.59
ET54	KF545103	badnavirus	Banana streak virus	74.41
ET54	FJ560943	badnavirus	Sweet potato badnavirus A	75.71
ET54	KF836892	badnavirus	Sweet potato badnavirus B	85.48
ET54	JQ902104	badnavirus	Sweet potato badnavirus C	86.46
ET54	FJ155666	potyvirus	Sweet potato feathery mottle virus	96.99
ET54	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET55	FJ560943	badnavirus	Sweet potato badnavirus A	78.18
ET55	KF836892	badnavirus	Sweet potato badnavirus B	88.77
ET55	JQ902104	badnavirus	Sweet potato badnavirus C	82.95
ET55	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET56	KF803548	mitovirus	Fusarium circinatum mitovirus 2-2	96.76
ET56	FJ560943	badnavirus	Sweet potato badnavirus A	77.12
ET56	FJ560944	badnavirus	Sweet potato badnavirus B	78.71
ET56	JQ902104	badnavirus	Sweet potato badnavirus C	88.38
ET56	FJ155666	potyvirus	Sweet potato feathery mottle virus	97.57
ET56	KF040464	begomovirus	Sweet potato leaf curl virus	92.74
ET56	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET57	FJ560943	badnavirus	Sweet potato badnavirus A	78.19
ET57	KF836892	badnavirus	Sweet potato badnavirus B	90.04
ET57	JQ902104	badnavirus	Sweet potato badnavirus C	82.6
ET57	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.39
ET58	FJ560943	badnavirus	Sweet potato badnavirus A	77.15
ET58	KF836892	badnavirus	Sweet potato badnavirus B	89.11
ET58	JQ902104	badnavirus	Sweet potato badnavirus C	83.9
ET58	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.32
ET59	FJ560943	badnavirus	Sweet potato badnavirus A	80.21
ET59	KF836892	badnavirus	Sweet potato badnavirus B	88.02
ET59	JQ902104	badnavirus	Sweet potato badnavirus C	80.73
ET6	FJ560943	badnavirus	Sweet potato badnavirus A	80.31
ET6	KF836892	badnavirus	Sweet potato badnavirus B	92.24
ET6	JQ902104	badnavirus	Sweet potato badnavirus C	96.23
ET6	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET61	FJ560943	badnavirus	Sweet potato badnavirus A	80.6
ET61	KF836892	badnavirus	Sweet potato badnavirus B	89.48
ET61	JQ902104	badnavirus	Sweet potato badnavirus C	82.04
ET62	FJ560943	badnavirus	Sweet potato badnavirus A	80.46
ET62	KF836892	badnavirus	Sweet potato badnavirus B	88.39
ET62	JQ902104	badnavirus	Sweet potato badnavirus C	83.39
ET62	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.34
ET63	KF836892	badnavirus	Sweet potato badnavirus B	93.66
ET63	JQ902104	badnavirus	Sweet potato badnavirus C	95
ET63	AB439206	potyvirus	Sweet potato feathery mottle virus	95.47
ET63	JN657686	begomovirus	Sweet potato leaf curl virus	95.46
ET63	KF386015	potyvirus	Sweet potato virus C	95.32
ET63	JN613805	potyvirus	Sweet potato virus G	98.67
ET64	JQ902104	badnavirus	Sweet potato badnavirus C	96.43
ET64	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.45
ET64	S43451	potyvirus	Sweet potato feathery mottle virus	97.62
ET64	JN657686	begomovirus	Sweet potato leaf curl virus	96.24
ET64	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET64	KF386015	potyvirus	Sweet potato virus C	95.1
ET67	FJ560943	badnavirus	Sweet potato badnavirus A	77.53
ET67	KF836892	badnavirus	Sweet potato badnavirus B	87.36
ET67	JQ902104	badnavirus	Sweet potato badnavirus C	86.59
ET67	AF439637	potyvirus	Sweet potato feathery mottle virus	93.21
ET67	JN657686	begomovirus	Sweet potato leaf curl virus	95.54
ET67	FJ560945	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET67	KF386015	potyvirus	Sweet potato virus C	96.98
ET68	JQ902104	badnavirus	Sweet potato badnavirus C	94.64
ET68	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.45
ET68	AB465608	potyvirus	Sweet potato feathery mottle virus	96.51
ET68	HQ333142	begomovirus	Sweet potato leaf curl virus	94.39
ET68	FJ560946	mastrevirus	Sweet potato symptomless mastrevirus 1	100
ET68	JN613805	potyvirus	Sweet potato virus G	98.64
ET69	FJ560943	badnavirus	Sweet potato badnavirus A	76.81
ET69	KF836892	badnavirus	Sweet potato badnavirus B	85.81
ET69	JQ902104	badnavirus	Sweet potato badnavirus C	86
ET69	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.46
ET69	JN613805	potyvirus	Sweet potato virus G	98.86
ET70	FJ560943	badnavirus	Sweet potato badnavirus A	79.82
ET70	KF836892	badnavirus	Sweet potato badnavirus B	88.71
ET70	JQ902103	badnavirus	Sweet potato badnavirus C	87.57
ET70	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.47
ET70	D86371	potyvirus	Sweet potato feathery mottle virus	92.52
ET70	JN613805	potyvirus	Sweet potato virus G	98.51
ET71	KF836892	badnavirus	Sweet potato badnavirus B	91.56
ET71	JQ902104	badnavirus	Sweet potato badnavirus C	95.59
ET71	HQ844104	potyvirus	Sweet potato feathery mottle virus	95.25
ET71	JN613805	potyvirus	Sweet potato virus G	98.73
ET72	JQ390619	badnavirus	Pineapple bacilliform comosus virus	74.61
ET72	FJ560943	badnavirus	Sweet potato badnavirus A	81.18
ET72	KF836892	badnavirus	Sweet potato badnavirus B	88.35
ET72	JQ902103	badnavirus	Sweet potato badnavirus C	86.55
ET72	JN613805	potyvirus	Sweet potato virus G	98.82
ET73	KF836892	badnavirus	Sweet potato badnavirus B	85.08
ET73	JQ902103	badnavirus	Sweet potato badnavirus C	93.02
ET73	D86371	potyvirus	Sweet potato feathery mottle virus	92.72
ET73	JN613805	potyvirus	Sweet potato virus G	98.2
ET74	FJ560943	badnavirus	Sweet potato badnavirus A	78
ET74	KF836892	badnavirus	Sweet potato badnavirus B	90.99
ET74	JQ902104	badnavirus	Sweet potato badnavirus C	87.83
ET74	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.42
ET74	AY523547	potyvirus	Sweet potato feathery mottle virus	96.68
ET74	JN613805	potyvirus	Sweet potato virus G	98.74
ET75	FJ560943	badnavirus	Sweet potato badnavirus A	78.79
ET75	KF836892	badnavirus	Sweet potato badnavirus B	89.03
ET75	JQ902104	badnavirus	Sweet potato badnavirus C	85.38
ET77	JQ902103	badnavirus	Sweet potato badnavirus C	96.2
ET78	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.29
ET78	JN613805	potyvirus	Sweet potato virus G	98.89
ET79	FJ560943	badnavirus	Sweet potato badnavirus A	79.2
ET79	KF836892	badnavirus	Sweet potato badnavirus B	90.76
ET79	JQ902104	badnavirus	Sweet potato badnavirus C	80.77
ET79	JN613805	potyvirus	Sweet potato virus G	98.79
ET8	FJ560943	badnavirus	Sweet potato badnavirus A	80.48
ET8	KF836892	badnavirus	Sweet potato badnavirus B	89.37
ET8	JQ902103	badnavirus	Sweet potato badnavirus C	90.55
ET8	JN613805	potyvirus	Sweet potato virus G	98.81
ET81	AM072678	badnavirus	Dioscorea bacilliform virus 1	78.57
ET81	FJ439788	badnavirus	Sugarcane bacilliform virus	79.67
ET81	FJ560943	badnavirus	Sweet potato badnavirus A	79.34
ET81	KF836892	badnavirus	Sweet potato badnavirus B	89.85
ET81	JQ902104	badnavirus	Sweet potato badnavirus C	81.68
ET81	JN613805	potyvirus	Sweet potato virus G	98.71
ET82	KF386729	badnavirus	Banana streak virus	78.5
ET82	FJ560943	badnavirus	Sweet potato badnavirus A	80.95
ET82	KF836892	badnavirus	Sweet potato badnavirus B	91.5
ET82	JQ902104	badnavirus	Sweet potato badnavirus C	82.46
ET82	JN613805	potyvirus	Sweet potato virus G	98.65
ET83	AJ968472	badnavirus	Banana streak virus	78.69
ET83	FJ560943	badnavirus	Sweet potato badnavirus A	79.68
ET83	KF836892	badnavirus	Sweet potato badnavirus B	89.42
ET83	JQ902103	badnavirus	Sweet potato badnavirus C	86.78
ET83	JN613805	potyvirus	Sweet potato virus G	98.86
ET84	FJ560943	badnavirus	Sweet potato badnavirus A	79.38
ET84	KF836892	badnavirus	Sweet potato badnavirus B	87.29
ET84	JQ902104	badnavirus	Sweet potato badnavirus C	80.67
ET84	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.41
ET84	JN613805	potyvirus	Sweet potato virus G	98.84
ET85	FJ439785	badnavirus	Sugarcane bacilliform virus	81.65
ET87	FJ560943	badnavirus	Sweet potato badnavirus A	76.58
ET87	KF836892	badnavirus	Sweet potato badnavirus B	87.9
ET87	JQ902104	badnavirus	Sweet potato badnavirus C	80.46
ET87	AJ428554	crinivirus	Sweet potato chlorotic stunt virus	99.49
ET87	JN613805	potyvirus	Sweet potato virus G	98.72
ET88	AJ968464	badnavirus	Banana streak virus	77.78
ET88	FJ560943	badnavirus	Sweet potato badnavirus A	80.4
ET88	KF836892	badnavirus	Sweet potato badnavirus B	87.22
ET88	JQ902104	badnavirus	Sweet potato badnavirus C	80.87
ET88	JN613805	potyvirus	Sweet potato virus G	98.7
